arm,No,X,Y,Z,A,B,C,U,V,W,desc
0,24,351.937054,-350.31472,240.0709,0.0,0.0,0.808713,1.0,0.0,0.0,
0,25,351.935695,-250.836,240.07,0.0,0.0,0.809553,1.0,0.0,0.0,
0,26,351.935791,-200.834,240.070213,0.0,0.0,0.810004,1.0,0.0,0.0,
0,12,93.955802,-499.493781,260.035,0.0,0.0,0.02826,1.0,0.0,0.0,
0,13,93.955802,-499.493781,260.035,0.0,0.0,0.02826,1.0,0.0,0.0,
0,100,80.0,-427.062719,249.877342,0.0,0.0,0.812439,0.0,0.0,0.0,
0,101,80.0,-427.062719,249.877342,0.0,0.0,0.812439,0.0,0.0,0.0,
0,102,80.0,-427.062719,249.877342,0.0,0.0,0.812439,1.0,0.0,0.0,
0,50,351.938322,-290.89422,269.066566,0.0,0.0,0.810194,1.0,0.0,0.0,
0,51,351.938322,-290.89422,269.066566,0.0,0.0,0.810194,1.0,0.0,0.0,
0,52,351.938322,-290.89422,269.066566,0.0,0.0,0.810194,1.0,0.0,0.0,
0,200,381.939,-290.895449,269.068359,0.0,0.0,0.809699,1.0,0.0,0.0,
0,300,321.939,-290.895449,269.068359,0.0,0.0,0.809699,1.0,0.0,0.0,
0,17,351.938092,-200.836014,269.069885,0.0,0.0,0.809223,1.0,0.0,0.0,
0,500,351.937095,-350.313,240.070824,0.0,0.0,0.810136,1.0,0.0,0.0,
